GOTeDNA_ID,GOTeDNA_version,basisOfRecord,replicate,materialSampleID,eventID,recordedBy,target_gene,target_subfragment,scientificName,taxonID,kingdom,phylum,class,order,family,genus,occurrenceID,occurrenceStatus,quantificationCycle,concentrationUnit,concentration,pcr_primer_lod,thresholdQuantificationCycle,baselineValue
11,,MaterialSample,3,BOF-23-15,11-BOF-23-15-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-15-3-Cmae,,,copies/L,607.4649765,3.09,,
11,,MaterialSample,1,BOF-23-16,11-BOF-23-16-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-16-1-Cmae,,,copies/L,373.1443167,3.09,,
11,,MaterialSample,2,BOF-23-16,11-BOF-23-16-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-16-2-Cmae,,,copies/L,294.7857702,3.09,,
11,,MaterialSample,3,BOF-23-16,11-BOF-23-16-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-16-3-Cmae,,,copies/L,153.5003653,3.09,,
11,,MaterialSample,1,BOF-23-17,11-BOF-23-17-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-17-1-Cmae,,,copies/L,99.25543349,3.09,,
11,,MaterialSample,2,BOF-23-17,11-BOF-23-17-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-17-2-Cmae,,,copies/L,361.4357057,3.09,,
11,,MaterialSample,3,BOF-23-17,11-BOF-23-17-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-17-3-Cmae,,,copies/L,285.0831435,3.09,,
11,,MaterialSample,1,BOF-23-18,11-BOF-23-18-1,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-18-1-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,2,BOF-23-18,11-BOF-23-18-2,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-18-2-Cmae,,,copies/L,0,3.09,,
11,,MaterialSample,3,BOF-23-18,11-BOF-23-18-3,,COI,,Carcinus maenas,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carnicus,11-BOF-23-18-3-Cmae,,,copies/L,0,3.09,,
