longitude,latitude,Depth,Time,Salinity
-68.66000366,44.15000153,6.440614223,7/9/2023,30.06447983
-68.66000366,44.15000153,0.494024992,7/10/2023,29.95824242
-68.66000366,44.15000153,1.541375041,7/10/2023,29.98381615
-68.66000366,44.15000153,2.645668983,7/10/2023,30.00028992
-68.66000366,44.15000153,3.819494963,7/10/2023,30.01885796
-68.66000366,44.15000153,5.078224182,7/10/2023,30.05677032
-68.66000366,44.15000153,6.440614223,7/10/2023,30.07928467
-68.66000366,44.15000153,0.494024992,7/11/2023,30.12319756
-68.66000366,44.15000153,1.541375041,7/11/2023,30.13329887
-68.66000366,44.15000153,2.645668983,7/11/2023,30.13835716
-68.66000366,44.15000153,3.819494963,7/11/2023,30.14011765
-68.66000366,44.15000153,5.078224182,7/11/2023,30.14030647
-68.66000366,44.15000153,6.440614223,7/11/2023,30.14019394
-68.66000366,44.15000153,0.494024992,7/12/2023,29.96962929
-68.66000366,44.15000153,1.541375041,7/12/2023,30.0311985
-68.66000366,44.15000153,2.645668983,7/12/2023,30.09211159
-68.66000366,44.15000153,3.819494963,7/12/2023,30.16070938
-68.66000366,44.15000153,5.078224182,7/12/2023,30.21060944
-68.66000366,44.15000153,6.440614223,7/12/2023,30.21285439
-68.66000366,44.15000153,0.494024992,7/13/2023,29.8515873
-68.66000366,44.15000153,1.541375041,7/13/2023,29.88741112
-68.66000366,44.15000153,2.645668983,7/13/2023,29.99350548
-68.66000366,44.15000153,3.819494963,7/13/2023,30.06099319
-68.66000366,44.15000153,5.078224182,7/13/2023,30.14273834
-68.66000366,44.15000153,6.440614223,7/13/2023,30.15130043
-68.66000366,44.15000153,0.494024992,7/14/2023,30.04924583
-68.66000366,44.15000153,1.541375041,7/14/2023,30.05053329
-68.66000366,44.15000153,2.645668983,7/14/2023,30.05394173
-68.66000366,44.15000153,3.819494963,7/14/2023,30.06678009
-68.66000366,44.15000153,5.078224182,7/14/2023,30.08004379
-68.66000366,44.15000153,6.440614223,7/14/2023,30.08364677
-68.66000366,44.15000153,0.494024992,7/15/2023,29.69280624
-68.66000366,44.15000153,1.541375041,7/15/2023,29.75284576
-68.66000366,44.15000153,2.645668983,7/15/2023,29.83756256
-68.66000366,44.15000153,3.819494963,7/15/2023,29.95792007
-68.66000366,44.15000153,5.078224182,7/15/2023,30.03492355
-68.66000366,44.15000153,6.440614223,7/15/2023,30.03848457
-68.66000366,44.15000153,0.494024992,7/16/2023,29.81163406
